VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,1,0,5,N,49,49,2,25.35,0,0.5,0,0,0.3,26.15,0
2,1,3.05,1,N,113,48,1,11.5,0.5,0.5,1.5,0,0.3,16.8,2.5
1,1,5.7,1,N,114,75,2,17,3,0.5,0,0,0.3,20.8,2.5
2,5,3.55,1,N,68,145,2,12.5,0.5,0.5,0,6.12,0.3,22.42,2.5
2,1,1.36,1,N,230,161,1,8,0.5,0.5,0,0,0.3,11.8,2.5
2,1,0.96,1,N,230,50,1,6.5,0.5,0.5,1.54,0,0.3,13.79,2.5
2,2,0.67,1,N,75,74,2,4,0.5,0.5,0,0,0.3,5.3,0
2,2,1.15,1,N,107,113,1,7.5,0.5,0.5,2.26,0,0.3,15.51,2.5
2,1,6,1,N,79,74,2,17.5,0.5,0.5,0,0,0.3,21.3,2.5
2,2,0.9,1,N,68,170,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2,3.71,1,N,170,170,2,17.5,0.5,0.5,0,0,0.3,21.3,2.5
2,1,1.67,1,N,137,230,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,1,5.3,1,N,230,260,2,18,0.5,0.5,0,0,0.3,21.8,2.5
2,1,0.71,1,N,263,263,1,4.5,0.5,0.5,1.66,0,0.3,9.96,2.5
2,1,4.47,1,N,41,243,2,17.5,0.5,0.5,0,0,0.3,18.8,0
1,1,0,1,N,168,226,1,26.2,0,0.5,0,6.12,0.3,33.12,0
1,1,0,1,N,79,92,1,30.2,0,0.5,0,0,0.3,31,0
1,1,1.7,1,N,48,68,1,6.5,3,0.5,2.05,0,0.3,12.35,2.5
2,1,6.04,1,N,65,165,1,22,0.5,0.5,0,0,0.3,23.3,0
1,1,3.3,1,N,68,238,1,11,3,0.5,4.4,0,0.3,19.2,2.5
2,1,4.33,1,N,68,232,2,18,0.5,0.5,0,0,0.3,21.8,2.5
2,1,7.21,1,N,100,17,1,24.5,0.5,0.5,0.01,0,0.3,28.31,2.5
1,1,1.4,1,N,234,48,1,6.5,3,0.5,0,0,0.3,10.3,2.5
2,1,0.16,1,N,137,137,2,3.5,0.5,0.5,0,0,0.3,7.3,2.5
1,6,5.9,1,N,74,234,2,19,3,0.5,0,0,0.3,22.8,2.5
2,1,1.95,1,N,125,186,1,8,0.5,0.5,1.18,0,0.3,12.98,2.5
1,2,2.3,1,N,263,230,1,9.5,3,0.5,1,0,0.3,14.3,2.5
2,1,2.4,1,N,92,53,2,10,0.5,0.5,0,0,0.3,11.3,0
1,1,9.4,1,N,74,88,1,26,3,0.5,1,0,0.3,30.8,2.5
2,6,1.31,1,N,48,163,1,6,0.5,0.5,1,0,0.3,10.8,2.5
1,1,0,1,N,230,254,1,36.2,0,0.5,0,0,0.3,37,0
